Rule,Body,Head,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?a  biomarker  KRAS   => ?a  smoking  CurrentSmoker,?a  biomarker  KRAS  ,?a  smoking  CurrentSmoker,0.030724,0.532407,0.532407,115,216,216,?a
?a  age  OLDER   => ?a  gender  Male,?a  age  OLDER  ,?a  gender  Male,0.524446,0.58163,0.58163,1963,3375,3375,?a
?a  smoking  PreviousSmoker   => ?a  gender  Male,?a  smoking  PreviousSmoker  ,?a  gender  Male,0.274379,0.689725,0.689725,1027,1489,1489,?a
?a  hasCanceredFamily  Colorrectal_Famale_1stDegree   => ?a  gender  Male,?a  hasCanceredFamily  Colorrectal_Famale_1stDegree  ,?a  gender  Male,0.0192359,0.576,0.576,72,125,125,?a
?a  smoking  CurrentSmoker   => ?a  gender  Male,?a  smoking  CurrentSmoker  ,?a  gender  Male,0.231098,0.635562,0.635562,865,1361,1361,?a
?a  hasCanceredFamily  Other_Famale_1stDegree   => ?a  gender  Male,?a  hasCanceredFamily  Other_Famale_1stDegree  ,?a  gender  Male,0.0170986,0.627451,0.627451,64,102,102,?a
?a  hasCanceredFamily  Breast_Famale_1stDegree   => ?a  gender  Male,?a  hasCanceredFamily  Breast_Famale_1stDegree  ,?a  gender  Male,0.0534331,0.576369,0.576369,200,347,347,?a
?a  hasCanceredFamily  Prostate_Male_1stDegree   => ?a  gender  Male,?a  hasCanceredFamily  Prostate_Male_1stDegree  ,?a  gender  Male,0.0293882,0.611111,0.611111,110,180,180,?a
?a  hasCanceredFamily  Lung_Male_2ndDegree   => ?a  gender  Male,?a  hasCanceredFamily  Lung_Male_2ndDegree  ,?a  gender  Male,0.0197702,0.506849,0.506849,74,146,146,?a
?a  hasCanceredFamily  Esophagogastric_Male_1stDegree   => ?a  gender  Male,?a  hasCanceredFamily  Esophagogastric_Male_1stDegree  ,?a  gender  Male,0.0187016,0.569106,0.569106,70,123,123,?a
?a  hasCanceredFamily  Head_and_neck_Male_1stDegree   => ?a  gender  Male,?a  hasCanceredFamily  Head_and_neck_Male_1stDegree  ,?a  gender  Male,0.0229762,0.623188,0.623188,86,138,138,?a
?a  hasCanceredFamily  Colorrectal_Male_1stDegree   => ?a  gender  Male,?a  hasCanceredFamily  Colorrectal_Male_1stDegree  ,?a  gender  Male,0.0283195,0.616279,0.616279,106,172,172,?a
?a  hasCanceredFamily  Lung_Male_1stDegree   => ?a  gender  Male,?a  hasCanceredFamily  Lung_Male_1stDegree  ,?a  gender  Male,0.0761421,0.665888,0.665888,285,428,428,?a
?a  hasCanceredFamily  Lung_Famale_1stDegree   => ?a  gender  Male,?a  hasCanceredFamily  Lung_Famale_1stDegree  ,?a  gender  Male,0.0146941,0.528846,0.528846,55,104,104,?a
?a  hasCanceredFamily  Esophagogastric_Famale_1stDegree   => ?a  gender  Male,?a  hasCanceredFamily  Esophagogastric_Famale_1stDegree  ,?a  gender  Male,0.0120224,0.616438,0.616438,45,73,73,?a
?a  hasCanceredFamily  Other_Male_1stDegree   => ?a  gender  Male,?a  hasCanceredFamily  Other_Male_1stDegree  ,?a  gender  Male,0.0160299,0.652174,0.652174,60,92,92,?a
?a  biomarker  KRAS   => ?a  gender  Male,?a  biomarker  KRAS  ,?a  gender  Male,0.0390061,0.675926,0.675926,146,216,216,?a
?a  age  YOUNGER   => ?a  gender  Female,?a  age  YOUNGER  ,?a  gender  Female,0.0609137,0.619565,0.619565,228,368,368,?a
?a  biomarker  BRAF   => ?a  gender  Male,?a  biomarker  BRAF  ,?a  gender  Male,0.0109538,0.803922,0.803922,41,51,51,?a
?a  smoking  NonSmoker   => ?a  gender  Female,?a  smoking  NonSmoker  ,?a  gender  Female,0.182207,0.763718,0.763718,682,893,893,?a
?a  biomarker  PDL1   => ?a  gender  Male,?a  biomarker  PDL1  ,?a  gender  Male,0.374299,0.663981,0.663981,1401,2110,2110,?a
?a  hasCanceredFamily  Breast_Famale_2ndDegree   => ?a  gender  Female,?a  hasCanceredFamily  Breast_Famale_2ndDegree  ,?a  gender  Female,0.025915,0.702899,0.702899,97,138,138,?a
?a  biomarker  ALK   => ?a  gender  Female,?a  biomarker  ALK  ,?a  gender  Female,0.0470211,0.608997,0.608997,176,289,289,?a
?a  hasCanceredFamily  Uterus/cervical_Famale_1stDegree   => ?a  gender  Female,?a  hasCanceredFamily  Uterus/cervical_Famale_1stDegree  ,?a  gender  Female,0.0112209,0.506024,0.506024,42,83,83,?a
?a  biomarker  EGFR   => ?a  gender  Female,?a  biomarker  EGFR  ,?a  gender  Female,0.168849,0.633267,0.633267,632,998,998,?a
?a  gender  Female   => ?a  age  OLDER,?a  gender  Female  ,?a  age  OLDER,0.377237,0.860976,0.860976,1412,1640,1640,?a
?a  gender  Male   => ?a  age  OLDER,?a  gender  Male  ,?a  age  OLDER,0.524446,0.933428,0.933428,1963,2103,2103,?a
?a  hasCanceredFamily  Colorrectal_Famale_1stDegree   => ?a  age  OLDER,?a  hasCanceredFamily  Colorrectal_Famale_1stDegree  ,?a  age  OLDER,0.032327,0.968,0.968,121,125,125,?a
?a  smoking  PreviousSmoker   => ?a  age  OLDER,?a  smoking  PreviousSmoker  ,?a  age  OLDER,0.366551,0.921424,0.921424,1372,1489,1489,?a
?a  hasCanceredFamily  Breast_Famale_1stDegree   => ?a  age  OLDER,?a  hasCanceredFamily  Breast_Famale_1stDegree  ,?a  age  OLDER,0.0878974,0.948127,0.948127,329,347,347,?a
?a  hasCanceredFamily  Other_Famale_1stDegree   => ?a  age  OLDER,?a  hasCanceredFamily  Other_Famale_1stDegree  ,?a  age  OLDER,0.0251135,0.921569,0.921569,94,102,102,?a
